2026-07-30 18:50:58,578 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__Saliency__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:50:58,595 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__Saliency__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:50:58,648 | INFO    | molsanity | [cell MUTAG__GINE__Saliency__scaffold] DONE — acc=0.75 gt_auroc=0.009368191721132898 n=20 (capped)
2026-07-30 18:50:58,656 | INFO    | molsanity | [stage cell_MUTAG__GINE__Saliency__random] running (fd574b34687d413c)
2026-07-30 18:50:58,705 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:50:58,743 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:51:00,745 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__Saliency__random/gt_validation.pdf (+ .svg)
2026-07-30 18:51:00,764 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__Saliency__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:51:00,838 | INFO    | molsanity | [cell MUTAG__GINE__Saliency__random] DONE — acc=0.55 gt_auroc=0.020338485044367395 n=20 (capped)
2026-07-30 18:51:00,843 | INFO    | molsanity | [stage cell_MUTAG__GINE__InputXGradient__scaffold] running (1000094c6670922c)
2026-07-30 18:51:00,903 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:51:01,305 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:51:01,327 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
2026-07-30 18:51:03,020 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__InputXGradient__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:51:03,032 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__InputXGradient__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:51:03,071 | INFO    | molsanity | [cell MUTAG__GINE__InputXGradient__scaffold] DONE — acc=0.75 gt_auroc=0.04896514161220043 n=20 (capped)
2026-07-30 18:51:03,075 | INFO    | molsanity | [stage cell_MUTAG__GINE__InputXGradient__random] running (7b05f06f4bc7618c)
2026-07-30 18:51:03,105 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:51:03,129 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:51:04,597 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__InputXGradient__random/gt_validation.pdf (+ .svg)
2026-07-30 18:51:04,610 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__InputXGradient__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:51:04,664 | INFO    | molsanity | [cell MUTAG__GINE__InputXGradient__random] DONE — acc=0.55 gt_auroc=0.05400090105972458 n=20 (capped)
2026-07-30 18:51:04,668 | INFO    | molsanity | [stage cell_MUTAG__GINE__GuidedBackprop__scaffold] running (f0c27476289e8641)
2026-07-30 18:51:04,698 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:51:04,982 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:51:05,009 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
